             Chemical Sensor        JB   p-value      skew  kurtosis
0    dioktilftalat_15     S1  0.312768  0.855231 -0.035799  2.761441
8    dioktilftalat_22     S1  4.759766  0.092561  0.445458  3.387755
16      plastizol__27     S1  2.950244  0.228751 -0.189600  2.335636
18      plastizol__27     S3  3.077368  0.214663 -0.387850  3.093154
22      plastizol__27     S7  0.538051  0.764124 -0.055725  2.692918
24           fenol_31     S1  3.549954  0.169487  0.074745  2.174303
25           fenol_31     S2  3.365314  0.185879 -0.074313  2.196625
26           fenol_31     S3  5.279406  0.071382  0.217405  2.073665
28           fenol_31     S5  4.406561  0.110440  0.010751  2.065352
29           fenol_31     S6  5.053064  0.079936 -0.275956  2.164743
37      izobutanol_24     S6  5.978631  0.050322 -0.106636  1.932124
40      etilazetat_33     S1  5.067828  0.079348  0.009996  1.997608
41      etilazetat_33     S2  4.440412  0.108587  0.077973  2.074568
69     izopropanol_25     S6  5.498768  0.063967  0.067256  1.964350
81   dioktilftalat_18     S2  5.777281  0.055652 -0.418975  2.333857
92          benzol_10     S5  5.567390  0.061810  0.027361  1.950581
97          stirol_29     S2  5.960287  0.050786  0.075329  1.923196
105    azetal_degid_3     S2  3.724571  0.155317  0.212758  2.253211
113     etilazetat_34     S2  4.772227  0.091987  0.095973  2.046211
126  dioktilftalat_20     S7  4.320248  0.115311 -0.162250  2.133046
137     plastizol__26     S2  3.943069  0.139243 -0.441426  2.948335
142     plastizol__26     S7  5.343484  0.069132 -0.042606  1.974035
148          azeton_4     S5  5.578694  0.061461  0.030476  1.949856
154         geksan_14     S3  3.363429  0.186055  0.012694  2.183617
159         geksan_14     S8  0.492316  0.781799  0.095109  2.752076
169  dioktilftalat_21     S2  2.059910  0.357023 -0.318646  3.049361
174  dioktilftalat_21     S7  4.243817  0.119803 -0.084093  2.098078
177     etilazetat_35     S2  1.944444  0.378242 -0.207030  2.537151
185  dioktilftalat_23     S2  4.717545  0.094536 -0.066626  2.041900
190  dioktilftalat_23     S7  3.437186  0.179318 -0.109585  2.203934
191  dioktilftalat_23     S8  4.363839  0.112825  0.185235  2.146591
206          azeton_6     S7  1.225539  0.541848 -0.246029  2.968990
209         benzol_11     S2  5.520001  0.063292  0.183981  2.020469
211         benzol_11     S4  4.158468  0.125026 -0.131328  2.130614
212         benzol_11     S5  4.381009  0.111860 -0.275970  2.248785
213         benzol_11     S6  5.338689  0.069298 -0.381148  2.308756
217          benzol_9     S2  5.607940  0.060569  0.494501  2.633675
220          benzol_9     S5  4.489408  0.105959  0.165088  2.116006
221          benzol_9     S6  4.197101  0.122634 -0.108329  2.113692
225    azetal_degid_0     S2  3.038141  0.218915 -0.359860  2.709125
226    azetal_degid_0     S3  2.918036  0.232464 -0.058381  2.248235
230    azetal_degid_0     S7  0.281509  0.868703  0.080430  2.826908
254  dioktilftalat_16     S7  2.127731  0.345119 -0.273835  3.349410
257          benzin_7     S2  3.502535  0.173554 -0.402845  2.786501
262          benzin_7     S7  5.136405  0.076673  0.259926  2.134815
264     etilazetat_32     S1  5.445045  0.065709 -0.262590  2.103231
266     etilazetat_32     S3  5.226260  0.073305 -0.349565  2.259844
