Chemical;Sensor;UnitRoot;Stationarity
azetal_degid_1;S1;1;0
azetal_degid_1;S2;1;0
azetal_degid_1;S3;1;0
azetal_degid_1;S4;1;0
azetal_degid_1;S5;1;0
azetal_degid_1;S6;1;0
azetal_degid_1;S7;1;0
azetal_degid_1;S8;1;0
azetal_degid_2;S1;1;0
azetal_degid_2;S2;1;0
azetal_degid_2;S3;1;0
azetal_degid_2;S4;1;0
azetal_degid_2;S5;1;0
azetal_degid_2;S6;0;1
azetal_degid_2;S7;1;0
azetal_degid_2;S8;1;0
azetal_degid_3;S1;1;0
azetal_degid_3;S2;1;0
azetal_degid_3;S3;1;0
azetal_degid_3;S4;1;0
azetal_degid_3;S5;1;0
azetal_degid_3;S6;1;0
azetal_degid_3;S7;1;0
azetal_degid_3;S8;1;0
azetal_degid_4;S1;1;0
azetal_degid_4;S2;1;0
azetal_degid_4;S3;1;0
azetal_degid_4;S4;1;0
azetal_degid_4;S5;1;0
azetal_degid_4;S6;1;0
azetal_degid_4;S7;1;0
azetal_degid_4;S8;1;0
azeton_5;S1;1;0
azeton_5;S2;1;0
azeton_5;S3;1;0
azeton_5;S4;1;0
azeton_5;S5;1;0
azeton_5;S6;0;1
azeton_5;S7;1;0
azeton_5;S8;1;0
azeton_6;S1;1;0
azeton_6;S2;1;0
azeton_6;S3;1;0
azeton_6;S4;1;0
azeton_6;S5;1;0
azeton_6;S6;1;0
azeton_6;S7;1;0
azeton_6;S8;1;0
azeton_7;S1;1;0
azeton_7;S2;1;0
azeton_7;S3;0;1
azeton_7;S4;0;1
azeton_7;S5;0;1
azeton_7;S6;0;1
azeton_7;S7;1;0
azeton_7;S8;0;1
benzin_8;S1;1;0
benzin_8;S2;1;0
benzin_8;S3;1;0
benzin_8;S4;0;1
benzin_8;S5;0;1
benzin_8;S6;0;1
benzin_8;S7;1;0
benzin_8;S8;1;0
benzol_9;S1;1;0
benzol_9;S2;1;0
benzol_9;S3;1;0
benzol_9;S4;1;0
benzol_9;S5;0;1
benzol_9;S6;0;1
benzol_9;S7;1;0
benzol_9;S8;1;0
benzol_10;S1;1;0
benzol_10;S2;1;0
benzol_10;S3;1;0
benzol_10;S4;1;0
benzol_10;S5;1;0
benzol_10;S6;1;0
benzol_10;S7;1;0
benzol_10;S8;1;0
benzol_11;S1;1;0
benzol_11;S2;1;0
benzol_11;S3;1;0
benzol_11;S4;1;0
benzol_11;S5;1;0
benzol_11;S6;0;1
benzol_11;S7;1;0
benzol_11;S8;1;0
benzol_12;S1;1;0
benzol_12;S2;1;0
benzol_12;S3;1;0
benzol_12;S4;1;0
benzol_12;S5;1;0
benzol_12;S6;1;0
benzol_12;S7;1;0
benzol_12;S8;1;0
butanol_13;S1;1;0
butanol_13;S2;1;0
butanol_13;S3;1;0
butanol_13;S4;1;0
butanol_13;S5;1;0
butanol_13;S6;1;0
butanol_13;S7;1;0
butanol_13;S8;1;0
butilazetat_14;S1;1;0
butilazetat_14;S2;1;0
butilazetat_14;S3;1;0
butilazetat_14;S4;1;0
butilazetat_14;S5;1;0
butilazetat_14;S6;1;0
butilazetat_14;S7;1;0
butilazetat_14;S8;1;0
geksan_15;S1;1;0
geksan_15;S2;0;1
geksan_15;S3;1;0
geksan_15;S4;0;1
geksan_15;S5;1;0
geksan_15;S6;1;0
geksan_15;S7;0;1
geksan_15;S8;1;0
dioktilftalat_16;S1;1;0
dioktilftalat_16;S2;1;0
dioktilftalat_16;S3;1;0
dioktilftalat_16;S4;1;0
dioktilftalat_16;S5;0;1
dioktilftalat_16;S6;0;1
dioktilftalat_16;S7;0;1
dioktilftalat_16;S8;1;0
dioktilftalat_17;S1;1;0
dioktilftalat_17;S2;1;0
dioktilftalat_17;S3;1;0
dioktilftalat_17;S4;0;1
dioktilftalat_17;S5;1;0
dioktilftalat_17;S6;0;1
dioktilftalat_17;S7;1;0
dioktilftalat_17;S8;1;0
dioktilftalat_18;S1;1;0
dioktilftalat_18;S2;1;0
dioktilftalat_18;S3;0;1
dioktilftalat_18;S4;0;1
dioktilftalat_18;S5;0;1
dioktilftalat_18;S6;0;1
dioktilftalat_18;S7;1;0
dioktilftalat_18;S8;0;1
dioktilftalat_19;S1;1;0
dioktilftalat_19;S2;1;0
dioktilftalat_19;S3;0;1
dioktilftalat_19;S4;0;1
dioktilftalat_19;S5;0;1
dioktilftalat_19;S6;0;1
dioktilftalat_19;S7;0;1
dioktilftalat_19;S8;1;0
dioktilftalat_20;S1;1;0
dioktilftalat_20;S2;1;0
dioktilftalat_20;S3;1;0
dioktilftalat_20;S4;0;1
dioktilftalat_20;S5;1;0
dioktilftalat_20;S6;0;1
dioktilftalat_20;S7;1;0
dioktilftalat_20;S8;1;0
dioktilftalat_21;S1;1;0
dioktilftalat_21;S2;1;0
dioktilftalat_21;S3;1;0
dioktilftalat_21;S4;1;0
dioktilftalat_21;S5;1;0
dioktilftalat_21;S6;1;0
dioktilftalat_21;S7;1;0
dioktilftalat_21;S8;1;0
dioktilftalat_22;S1;1;0
dioktilftalat_22;S2;1;0
dioktilftalat_22;S3;1;0
dioktilftalat_22;S4;1;0
dioktilftalat_22;S5;1;0
dioktilftalat_22;S6;0;1
dioktilftalat_22;S7;1;0
dioktilftalat_22;S8;1;0
dioktilftalat_23;S1;0;1
dioktilftalat_23;S2;0;1
dioktilftalat_23;S3;0;1
dioktilftalat_23;S4;0;1
dioktilftalat_23;S5;0;1
dioktilftalat_23;S6;0;1
dioktilftalat_23;S7;0;1
dioktilftalat_23;S8;0;1
dioktilftalat_24;S1;1;0
dioktilftalat_24;S2;1;0
dioktilftalat_24;S3;1;0
dioktilftalat_24;S4;1;0
dioktilftalat_24;S5;1;0
dioktilftalat_24;S6;1;0
dioktilftalat_24;S7;1;0
dioktilftalat_24;S8;1;0
izobutanol_25;S1;1;0
izobutanol_25;S2;1;0
izobutanol_25;S3;1;0
izobutanol_25;S4;1;0
izobutanol_25;S5;1;0
izobutanol_25;S6;1;0
izobutanol_25;S7;1;0
izobutanol_25;S8;1;0
izopropanol_26;S1;1;0
izopropanol_26;S2;1;0
izopropanol_26;S3;1;0
