Chemical;Sensor;UnitRoot;Stationarity
резиночки_желтые_0;S1;0;1
резиночки_желтые_0;S2;0;1
резиночки_желтые_0;S3;0;1
резиночки_желтые_0;S4;0;1
резиночки_желтые_0;S5;1;0
резиночки_желтые_0;S6;1;0
резиночки_желтые_0;S7;0;1
резиночки_желтые_0;S8;0;1
резинки_розовые_1;S1;1;0
резинки_розовые_1;S2;1;0
резинки_розовые_1;S3;1;0
резинки_розовые_1;S4;0;1
резинки_розовые_1;S5;0;1
резинки_розовые_1;S6;0;1
резинки_розовые_1;S7;1;0
резинки_розовые_1;S8;1;0
резинки_сиреневые_2;S1;1;0
резинки_сиреневые_2;S2;1;0
резинки_сиреневые_2;S3;1;0
резинки_сиреневые_2;S4;0;1
резинки_сиреневые_2;S5;0;1
резинки_сиреневые_2;S6;0;1
резинки_сиреневые_2;S7;1;0
резинки_сиреневые_2;S8;1;0
пепе_3;S1;0;1
пепе_3;S2;0;1
пепе_3;S3;0;1
пепе_3;S4;0;1
пепе_3;S5;0;1
пепе_3;S6;0;1
пепе_3;S7;0;1
пепе_3;S8;0;1
пони_4;S1;1;0
пони_4;S2;1;0
пони_4;S3;1;0
пони_4;S4;0;1
пони_4;S5;0;1
пони_4;S6;1;0
пони_4;S7;1;0
пони_4;S8;1;0
слон_5;S1;1;0
слон_5;S2;0;1
слон_5;S3;0;1
слон_5;S4;0;1
слон_5;S5;0;1
слон_5;S6;0;1
слон_5;S7;0;1
слон_5;S8;0;1
резинки_6;S1;1;0
резинки_6;S2;1;0
резинки_6;S3;1;0
резинки_6;S4;1;0
резинки_6;S5;0;1
резинки_6;S6;0;1
резинки_6;S7;1;0
резинки_6;S8;1;0
е-ежик_рожа_7;S1;0;1
е-ежик_рожа_7;S2;0;1
е-ежик_рожа_7;S3;0;1
е-ежик_рожа_7;S4;0;1
е-ежик_рожа_7;S5;0;1
е-ежик_рожа_7;S6;0;1
е-ежик_рожа_7;S7;0;1
е-ежик_рожа_7;S8;0;1
1.0_8;S1;0;1
1.0_8;S2;1;0
1.0_8;S3;1;0
1.0_8;S4;0;1
1.0_8;S5;1;0
1.0_8;S6;1;0
1.0_8;S7;1;0
1.0_8;S8;1;0
2.0_9;S1;1;0
2.0_9;S2;1;0
2.0_9;S3;1;0
2.0_9;S4;0;1
2.0_9;S5;0;1
2.0_9;S6;0;1
2.0_9;S7;1;0
2.0_9;S8;0;1
3.0_10;S1;1;0
