Chemical;Sensor;p;d;q;AIC
azetal_degid_1;S1;0;1;1;167.57816504928456
azetal_degid_1;S2;0;1;2;138.55932196893724
azetal_degid_1;S3;1;1;1;151.21374452384583
azetal_degid_1;S4;1;1;1;153.70262575856805
azetal_degid_1;S5;1;1;2;188.1832571240984
azetal_degid_1;S6;0;1;1;164.93532656022356
azetal_degid_1;S7;0;1;2;136.79445549632925
azetal_degid_1;S8;0;1;1;166.8656231186968
azetal_degid_2;S1;2;1;0;152.60183051740222
azetal_degid_2;S2;0;1;2;139.28490569762084
azetal_degid_2;S3;2;1;1;131.79141122524513
azetal_degid_2;S4;2;1;2;155.6621907188361
azetal_degid_2;S5;2;1;2;193.83642790976683
azetal_degid_2;S6;0;1;1;174.77949943404292
azetal_degid_2;S7;0;1;1;158.06195462962214
azetal_degid_2;S8;2;1;2;158.4247108446197
azetal_degid_3;S1;1;1;1;156.9021568324291
azetal_degid_3;S2;2;1;1;155.5960373815791
azetal_degid_3;S3;1;1;2;162.225120760308
azetal_degid_3;S4;0;1;1;176.52985436564205
azetal_degid_3;S5;0;1;1;209.41038935390625
azetal_degid_3;S6;0;1;1;168.83975058433174
azetal_degid_3;S7;0;1;2;145.82332248158897
azetal_degid_3;S8;0;1;2;195.76903146340985
azetal_degid_4;S1;1;1;2;133.79659933875772
azetal_degid_4;S2;1;1;2;152.9323424845135
azetal_degid_4;S3;0;1;2;136.27694203965223
azetal_degid_4;S4;1;1;1;141.15928419083082
azetal_degid_4;S5;1;1;1;140.8180051172194
azetal_degid_4;S6;1;1;2;173.73276063122574
azetal_degid_4;S7;0;1;1;155.40256742402013
azetal_degid_4;S8;0;1;2;150.6803273030956
azeton_5;S1;1;1;1;138.83165039127093
azeton_5;S2;0;1;1;146.51611560303675
azeton_5;S3;0;1;1;150.1468225982395
azeton_5;S4;1;1;2;232.04409576828368
azeton_5;S5;0;1;1;196.7497421406013
azeton_5;S6;2;1;2;168.18926862606608
azeton_5;S7;0;1;1;164.00218766512504
azeton_5;S8;1;1;2;136.1676345008436
azeton_6;S1;0;1;1;149.94411276188396
azeton_6;S2;0;1;1;179.76210923437185
azeton_6;S3;0;1;1;187.32251297876806
azeton_6;S4;0;1;1;178.8425890099357
azeton_6;S5;0;1;1;154.16960567872172
azeton_6;S6;2;1;1;149.89897374768807
azeton_6;S7;0;1;2;142.54334076443712
azeton_6;S8;0;1;1;157.0846768335201
azeton_7;S1;1;1;2;128.68646849053093
azeton_7;S2;1;1;1;142.79960403832536
azeton_7;S3;0;1;1;175.4985440848266
azeton_7;S4;0;1;2;171.24728350633035
azeton_7;S5;2;1;0;181.7486749645912
azeton_7;S6;0;1;1;189.62628250784914
azeton_7;S7;0;1;1;135.1630570172717
azeton_7;S8;0;1;1;157.0332240774001
benzin_8;S1;1;1;1;177.0205915764943
benzin_8;S2;2;1;0;159.85773243643524
benzin_8;S3;0;1;2;156.43419279779562
benzin_8;S4;0;1;1;147.34333003638594
benzin_8;S5;2;1;1;189.5819883512779
benzin_8;S6;2;1;0;158.885056209251
benzin_8;S7;1;1;1;147.11383767330386
benzin_8;S8;1;1;1;136.76062207927052
benzol_9;S1;1;1;2;136.43116616195778
benzol_9;S2;1;1;1;156.914312088104
benzol_9;S3;2;1;1;145.3325865500812
benzol_9;S4;0;1;1;151.71208513962833
benzol_9;S5;2;1;2;214.7914590759121
benzol_9;S6;1;1;2;172.81716685820416
benzol_9;S7;1;1;1;164.5077384155381
benzol_9;S8;0;1;1;152.84972370292425
benzol_10;S1;0;1;1;166.29251740136215
benzol_10;S2;0;1;1;181.46749082248917
benzol_10;S3;2;1;1;169.1182740810277
benzol_10;S4;0;1;1;174.85227375141162
benzol_10;S5;0;1;1;203.18448288193005
benzol_10;S6;0;1;1;157.32374544421515
benzol_10;S7;0;1;1;177.70860181199907
benzol_10;S8;0;1;1;178.5858796592001
benzol_11;S1;1;1;1;172.52511126892597
benzol_11;S2;0;1;1;137.40069160729718
benzol_11;S3;2;1;0;168.97556657767396
