Chemical;Sensor;JB;p-value;skew;kurtosis
1.0_16;S1;12.069898896018444;0.00239361752642;-0.297121226143502;1.571397381706692
1.0_16;S2;3.6111181798589826;0.164382526266;-0.19660920068237203;2.250577466031332
1.0_16;S3;3.569740291607291;0.167818851567;-0.27236307004793536;2.358656805258291
1.0_16;S4;24.82115846842496;4.07524685899e-06;-1.0445739794624016;3.7474394899876833
1.0_16;S5;11.776459627448425;0.00277187909889;-0.7106076072927563;2.4378843385960214
1.0_16;S6;10.098274031120695;0.00641486698863;-0.6126339510262466;2.2917048550292676
1.0_16;S7;26.714022593244774;1.58169848687e-06;0.524174082801066;5.049296277526158
1.0_16;S8;13.593179302740904;0.00111757999363;-0.4636631430474296;1.6449229709339444
2.0_17;S1;7.488169093534699;0.0236572762677;0.13478594119134676;1.8114766809447898
2.0_17;S2;14.547910617003312;0.000693364094051;-0.8181628451250318;2.543958087916176
2.0_17;S3;16.79287201179225;0.000225670179833;-0.9095355989901254;3.1476399871122767
2.0_17;S4;76.59438812538825;2.33206121514e-17;-1.6745219663080306;4.994036125064706
2.0_17;S5;79.12974117199842;6.56439985604e-18;-1.708313314937353;5.005447018950094
2.0_17;S6;25.41039645803405;3.03530626041e-06;-1.0793695926445785;3.616379563419635
2.0_17;S7;2.643948959289876;0.26660836913;0.33570406630727123;3.271349862258955
2.0_17;S8;52.24104380936284;4.52899115339e-12;-1.4179739881908382;4.522911358020057
3.0_18;S1;0.9115873314370124;0.633944628114;0.057694678495394294;2.5907372400756157
3.0_18;S2;7.7931120992148815;0.0203117437652;-0.5263655325538092;2.3385632703146433
3.0_18;S3;5.040435274883746;0.0804420976319;-0.27460874463125967;2.1644666933688943
3.0_18;S4;23.545852138449803;7.71051119892e-06;-1.080395375304019;3.0351425086114423
3.0_18;S5;14.710157259571448;0.000639337144669;-0.7975348177792249;2.388878080810571
3.0_18;S6;14.248938567287198;0.000805160208446;-0.8038955452307239;2.5088344898955146
3.0_18;S7;20.166697185768278;4.17693144167e-05;-0.049602024685743054;1.0024603608529252
3.0_18;S8;6.185764876465496;0.0453709866755;-0.28140043102038936;2.0459644869163585
4.0_19;S1;20.56474513881764;3.42312164194e-05;0.5300888152439965;1.280994152046784
4.0_19;S2;9.35689244051255;0.00929344263753;-0.6799997414673132;3.0794604090214484
4.0_19;S3;2.491363419088965;0.287744682957;-0.3395856022234201;3.1813317479191427
4.0_19;S4;35.820153513493594;1.66629731333e-08;-1.2860203771729088;3.6995928783023424
4.0_19;S5;18.60735753532757;9.1088520851e-05;-0.9558030493015156;2.8090087227622633
4.0_19;S6;20.091394952941712;4.33719570567e-05;-0.9973110457666734;2.9190507240434473
4.0_19;S7;0.40634386150107804;0.816137910159;0.08756870055724408;2.776563162650391
4.0_19;S8;16.195198201323343;0.000304268780543;-0.8602401919127288;3.502213068816075
