Chemical;Sensor;Radius
azetal_degid_0;S1;43
azetal_degid_0;S2;41
azetal_degid_0;S3;43
azetal_degid_0;S4;44
azetal_degid_0;S5;45
azetal_degid_0;S6;43
azetal_degid_0;S7;27
azetal_degid_0;S8;44
azetal_degid_1;S1;45
azetal_degid_1;S2;43
azetal_degid_1;S3;44
azetal_degid_1;S4;44
azetal_degid_1;S5;45
azetal_degid_1;S6;45
azetal_degid_1;S7;43
azetal_degid_1;S8;44
azetal_degid_2;S1;44
azetal_degid_2;S2;44
azetal_degid_2;S3;44
azetal_degid_2;S4;44
azetal_degid_2;S5;44
azetal_degid_2;S6;45
azetal_degid_2;S7;44
azetal_degid_2;S8;44
azetal_degid_3;S1;42
azetal_degid_3;S2;46
azetal_degid_3;S3;43
azetal_degid_3;S4;44
azetal_degid_3;S5;44
azetal_degid_3;S6;45
azetal_degid_3;S7;44
azetal_degid_3;S8;44
azeton_4;S1;44
azeton_4;S2;46
azeton_4;S3;44
azeton_4;S4;44
azeton_4;S5;45
azeton_4;S6;45
azeton_4;S7;43
azeton_4;S8;45
azeton_5;S1;44
azeton_5;S2;44
azeton_5;S3;43
azeton_5;S4;44
azeton_5;S5;45
azeton_5;S6;45
azeton_5;S7;43
azeton_5;S8;45
azeton_6;S1;39
azeton_6;S2;44
azeton_6;S3;43
azeton_6;S4;42
azeton_6;S5;41
azeton_6;S6;41
azeton_6;S7;41
azeton_6;S8;41
benzin_7;S1;44
benzin_7;S2;30
benzin_7;S3;43
benzin_7;S4;47
benzin_7;S5;43
benzin_7;S6;45
benzin_7;S7;44
benzin_7;S8;45
benzol_8;S1;45
benzol_8;S2;42
benzol_8;S3;43
benzol_8;S4;45
benzol_8;S5;45
benzol_8;S6;46
benzol_8;S7;44
benzol_8;S8;44
benzol_9;S1;44
benzol_9;S2;47
benzol_9;S3;44
benzol_9;S4;44
benzol_9;S5;46
benzol_9;S6;45
benzol_9;S7;44
benzol_9;S8;44
benzol_10;S1;43
benzol_10;S2;45
benzol_10;S3;43
benzol_10;S4;43
benzol_10;S5;45
benzol_10;S6;46
benzol_10;S7;43
benzol_10;S8;44
benzol_11;S1;43
benzol_11;S2;45
benzol_11;S3;45
benzol_11;S4;45
benzol_11;S5;46
benzol_11;S6;46
benzol_11;S7;43
benzol_11;S8;44
butanol_12;S1;43
butanol_12;S2;44
butanol_12;S3;43
butanol_12;S4;43
butanol_12;S5;44
butanol_12;S6;44
butanol_12;S7;43
butanol_12;S8;43
butilazetat_13;S1;44
butilazetat_13;S2;44
butilazetat_13;S3;44
butilazetat_13;S4;44
butilazetat_13;S5;44
butilazetat_13;S6;44
butilazetat_13;S7;43
butilazetat_13;S8;44
geksan_14;S1;41
geksan_14;S2;3
geksan_14;S3;38
geksan_14;S4;43
geksan_14;S5;42
geksan_14;S6;42
geksan_14;S7;3
geksan_14;S8;38
dioktilftalat_15;S1;26
dioktilftalat_15;S2;43
dioktilftalat_15;S3;43
dioktilftalat_15;S4;44
dioktilftalat_15;S5;42
dioktilftalat_15;S6;44
dioktilftalat_15;S7;6
dioktilftalat_15;S8;43
dioktilftalat_16;S1;44
dioktilftalat_16;S2;42
dioktilftalat_16;S3;42
dioktilftalat_16;S4;40
dioktilftalat_16;S5;41
dioktilftalat_16;S6;41
dioktilftalat_16;S7;38
dioktilftalat_16;S8;44
dioktilftalat_17;S1;43
dioktilftalat_17;S2;43
dioktilftalat_17;S3;42
dioktilftalat_17;S4;41
dioktilftalat_17;S5;42
dioktilftalat_17;S6;42
dioktilftalat_17;S7;19
dioktilftalat_17;S8;43
dioktilftalat_18;S1;38
dioktilftalat_18;S2;46
dioktilftalat_18;S3;44
dioktilftalat_18;S4;43
dioktilftalat_18;S5;43
dioktilftalat_18;S6;43
dioktilftalat_18;S7;2
dioktilftalat_18;S8;41
dioktilftalat_19;S1;42
dioktilftalat_19;S2;42
dioktilftalat_19;S3;44
dioktilftalat_19;S4;44
dioktilftalat_19;S5;44
dioktilftalat_19;S6;44
dioktilftalat_19;S7;40
dioktilftalat_19;S8;44
dioktilftalat_20;S1;43
dioktilftalat_20;S2;43
dioktilftalat_20;S3;44
dioktilftalat_20;S4;44
dioktilftalat_20;S5;44
dioktilftalat_20;S6;44
dioktilftalat_20;S7;38
dioktilftalat_20;S8;44
dioktilftalat_21;S1;43
dioktilftalat_21;S2;42
dioktilftalat_21;S3;41
dioktilftalat_21;S4;42
dioktilftalat_21;S5;45
dioktilftalat_21;S6;45
dioktilftalat_21;S7;46
dioktilftalat_21;S8;40
dioktilftalat_22;S1;1
dioktilftalat_22;S2;36
dioktilftalat_22;S3;40
dioktilftalat_22;S4;4
dioktilftalat_22;S5;42
dioktilftalat_22;S6;38
dioktilftalat_22;S7;1
dioktilftalat_22;S8;28
dioktilftalat_23;S1;45
dioktilftalat_23;S2;44
dioktilftalat_23;S3;46
dioktilftalat_23;S4;46
dioktilftalat_23;S5;47
dioktilftalat_23;S6;47
dioktilftalat_23;S7;44
dioktilftalat_23;S8;46
izobutanol_24;S1;44
izobutanol_24;S2;46
izobutanol_24;S3;44
izobutanol_24;S4;44
izobutanol_24;S5;45
izobutanol_24;S6;45
izobutanol_24;S7;44
izobutanol_24;S8;44
izopropanol_25;S1;44
izopropanol_25;S2;44
izopropanol_25;S3;44
izopropanol_25;S4;44
izopropanol_25;S5;45
izopropanol_25;S6;45
izopropanol_25;S7;42
izopropanol_25;S8;44
plastizol__26;S1;43
plastizol__26;S2;1
plastizol__26;S3;39
plastizol__26;S4;31
plastizol__26;S5;34
plastizol__26;S6;38
plastizol__26;S7;44
plastizol__26;S8;33
plastizol__27;S1;45
plastizol__27;S2;25
plastizol__27;S3;21
plastizol__27;S4;23
plastizol__27;S5;30
plastizol__27;S6;31
plastizol__27;S7;45
plastizol__27;S8;31
propanol_28;S1;44
