;Chemical;Sensor;Normality;Stationarity;Radius;p;d;q;AIC
0;azetal_degid_0;S1;0;0;43;0;1;1;167.57816504928456
1;azetal_degid_0;S2;1;0;41;0;1;2;138.5593219689372
2;azetal_degid_0;S3;1;0;43;1;1;1;151.21374452384583
3;azetal_degid_0;S4;0;0;44;1;1;1;153.70262575856813
4;azetal_degid_0;S5;0;0;45;1;1;2;188.1832571240984
5;azetal_degid_0;S6;0;0;43;0;1;1;164.93532656022353
6;azetal_degid_0;S7;1;0;27;0;1;2;136.79445549632928
7;azetal_degid_0;S8;0;0;44;0;1;1;166.86562311869676
8;azetal_degid_1;S1;0;0;45;1;1;1;132.06214638121446
9;azetal_degid_1;S2;0;0;43;0;1;2;139.2849056976208
10;azetal_degid_1;S3;0;0;44;2;1;1;131.79141122524518
11;azetal_degid_1;S4;0;0;44;2;1;2;155.66219071883611
12;azetal_degid_1;S5;0;0;45;2;1;2;193.83642790976643
13;azetal_degid_1;S6;0;1;45;0;1;1;174.7794994340429
14;azetal_degid_1;S7;0;0;43;0;1;1;158.06195462962216
15;azetal_degid_1;S8;0;0;44;2;1;2;158.42471084462284
16;azetal_degid_2;S1;0;0;44;1;1;1;156.90215683242909
17;azetal_degid_2;S2;0;0;44;2;1;1;155.59603738157912
18;azetal_degid_2;S3;0;0;44;1;1;2;162.22512076030839
19;azetal_degid_2;S4;0;0;44;0;1;1;176.52985436564202
20;azetal_degid_2;S5;0;0;44;0;1;1;209.41038935390625
21;azetal_degid_2;S6;0;0;45;0;1;1;168.83975058433174
22;azetal_degid_2;S7;0;0;44;0;1;2;145.82332248158897
23;azetal_degid_2;S8;0;0;44;0;1;2;195.76903146340985
24;azetal_degid_3;S1;0;0;42;1;1;2;133.79659933875772
25;azetal_degid_3;S2;1;0;46;1;1;1;151.20440610619522
26;azetal_degid_3;S3;0;0;43;0;1;2;136.27694203965223
27;azetal_degid_3;S4;0;0;44;1;1;1;141.15928419083082
28;azetal_degid_3;S5;0;0;44;1;1;1;140.8180051172194
29;azetal_degid_3;S6;0;0;45;1;1;2;173.7327606312257
30;azetal_degid_3;S7;0;0;44;0;1;1;155.4025674240201
31;azetal_degid_3;S8;0;0;44;0;1;2;150.6803273030956
32;azeton_4;S1;0;0;44;1;1;1;138.8316503912709
33;azeton_4;S2;0;0;46;0;1;1;146.5161156030371
34;azeton_4;S3;0;0;44;0;1;1;150.1468225982395
35;azeton_4;S4;0;0;44;1;1;2;232.04409576828436
36;azeton_4;S5;1;0;45;0;1;1;196.7497421406013
37;azeton_4;S6;0;1;45;2;1;2;168.18926875279553
38;azeton_4;S7;0;0;43;0;1;1;164.00218766512504
39;azeton_4;S8;0;0;45;1;1;2;136.16763450091688
40;azeton_5;S1;0;0;44;0;1;1;149.944112761884
41;azeton_5;S2;0;0;44;0;1;1;179.76210923437182
42;azeton_5;S3;0;0;43;0;1;1;187.3225129787681
43;azeton_5;S4;0;0;44;0;1;1;178.8425890099357
44;azeton_5;S5;0;0;45;0;1;1;154.16960567872172
45;azeton_5;S6;0;0;45;2;1;1;149.8989737476881
46;azeton_5;S7;0;0;43;0;1;2;142.54334076443712
47;azeton_5;S8;0;0;45;0;1;1;157.0846768335201
48;azeton_6;S1;0;0;39;1;1;2;128.6864684905309
49;azeton_6;S2;0;0;44;1;1;1;142.79960403832536
50;azeton_6;S3;0;1;43;0;1;1;175.49854408482662
51;azeton_6;S4;0;1;42;0;1;2;171.24728350633038
52;azeton_6;S5;0;1;41;2;1;0;181.74867496459117
53;azeton_6;S6;0;1;41;0;1;1;189.62628250784917
54;azeton_6;S7;1;0;41;0;1;1;135.1630570172717
55;azeton_6;S8;0;1;41;0;1;1;157.0332240774001
56;benzin_7;S1;0;0;44;1;1;1;177.02059157649433
57;benzin_7;S2;1;0;30;2;1;0;159.85773243643527
58;benzin_7;S3;0;0;43;0;1;2;156.43419279779562
59;benzin_7;S4;0;1;47;0;1;1;147.34333003638596
60;benzin_7;S5;0;1;43;2;1;1;189.58198835127791
61;benzin_7;S6;0;1;45;2;1;0;158.88505620925102
62;benzin_7;S7;1;0;44;1;1;1;147.11383767342028
63;benzin_7;S8;0;0;45;1;1;1;136.76062207927052
64;benzol_10;S1;0;0;45;1;1;2;136.4311661619582
65;benzol_10;S2;0;0;42;1;1;1;156.91431208810403
66;benzol_10;S3;0;0;43;2;1;1;145.33258655008115
67;benzol_10;S4;0;0;45;0;1;1;151.71208513962833
68;benzol_10;S5;1;1;45;2;1;2;214.79145907591248
69;benzol_10;S6;0;1;46;1;1;2;172.81716685820408
70;benzol_10;S7;0;0;44;1;1;1;164.5077384155381
71;benzol_10;S8;0;0;44;0;1;1;152.84972370292425
72;benzol_11;S1;0;0;44;0;1;1;166.29251740136215
73;benzol_11;S2;1;0;47;0;1;1;181.4674908224892
74;benzol_11;S3;0;0;44;2;1;1;169.1182740810277
75;benzol_11;S4;1;0;44;0;1;1;174.85227375141162
76;benzol_11;S5;1;0;46;0;1;1;203.18448288193
77;benzol_11;S6;1;0;45;0;1;1;157.32374544421518
78;benzol_11;S7;0;0;44;0;1;1;177.7086018119991
79;benzol_11;S8;0;0;44;0;1;1;178.5858796592001
80;benzol_8;S1;0;0;43;1;1;1;172.52511126892597
81;benzol_8;S2;0;0;45;0;1;1;137.40069160729715
82;benzol_8;S3;0;0;43;2;1;0;168.97556657767396
83;benzol_8;S4;0;0;43;2;1;0;172.4503444869869
84;benzol_8;S5;0;0;45;1;1;2;188.9533087916781
85;benzol_8;S6;0;1;46;0;1;1;155.88502511103457
86;benzol_8;S7;0;0;43;2;1;0;172.95510357361493
87;benzol_8;S8;0;0;44;0;1;2;196.96176994320084
88;benzol_9;S1;0;0;43;0;1;1;150.42929574929946
89;benzol_9;S2;1;0;45;1;1;2;142.24866699290752
90;benzol_9;S3;0;0;45;1;1;1;132.79982122340522
91;benzol_9;S4;0;0;45;0;1;1;214.58670180612893
92;benzol_9;S5;1;0;46;0;1;1;209.50260564267415
93;benzol_9;S6;1;0;46;2;1;1;197.205907982227
94;benzol_9;S7;0;0;43;2;1;1;162.10816100013975
95;benzol_9;S8;0;0;44;0;1;1;151.61458179120808
96;butanol_12;S1;0;0;43;0;1;2;157.02896632350246
97;butanol_12;S2;0;0;44;0;1;1;172.59003181915284
98;butanol_12;S3;0;0;43;0;1;1;159.19496329460034
99;butanol_12;S4;0;0;43;2;1;2;176.22803726981545
100;butanol_12;S5;0;0;44;0;1;1;187.64073227572436
101;butanol_12;S6;0;0;44;0;1;1;195.45829895370244
102;butanol_12;S7;0;0;43;0;1;2;140.35624410182848
103;butanol_12;S8;0;0;43;2;1;1;204.922955880218
104;butilazetat_13;S1;0;0;44;0;1;1;175.050417324865
105;butilazetat_13;S2;0;0;44;2;1;1;133.5266379874624
106;butilazetat_13;S3;0;0;44;1;1;1;158.69940296063288
107;butilazetat_13;S4;0;0;44;0;1;1;157.19829313820506
108;butilazetat_13;S5;0;0;44;1;1;2;157.40796127138188
109;butilazetat_13;S6;0;0;44;0;1;1;159.27546572723256
110;butilazetat_13;S7;0;0;43;1;1;1;193.1375371314787
111;butilazetat_13;S8;0;0;44;0;1;1;188.45634903879116
112;dioktilftalat_15;S1;1;0;41;2;1;1;178.48007573710643
113;dioktilftalat_15;S2;0;1;3;1;0;0;177.2479716378274
