other:0.734;dioktilftalat:0.293
other:0.936;
other:0.832;dioktilftalat:0.212
other:0.898;
other:0.538;dioktilftalat:0.440
dioktilftalat:0.483;other:0.479
other:0.804;dioktilftalat:0.236
other:0.768;dioktilftalat:0.265
other:0.969;
other:0.958;
dioktilftalat:0.500;other:0.453
dioktilftalat:0.659;other:0.256
other:0.606;dioktilftalat:0.391
other:0.853;
other:0.793;dioktilftalat:0.245
other:0.844;dioktilftalat:0.201
dioktilftalat:0.609;other:0.317
other:0.761;dioktilftalat:0.272
other:0.839;dioktilftalat:0.206
other:0.650;dioktilftalat:0.359
dioktilftalat:0.879;
other:0.717;dioktilftalat:0.307
other:0.679;dioktilftalat:0.338
other:0.950;
other:0.920;
other:0.929;
dioktilftalat:0.673;other:0.240
other:0.637;dioktilftalat:0.371
other:0.668;dioktilftalat:0.346
dioktilftalat:0.590;other:0.342
other:0.683;dioktilftalat:0.335
other:0.858;
other:0.972;
dioktilftalat:0.534;other:0.410
other:0.738;dioktilftalat:0.289
dioktilftalat:0.576;other:0.359
other:0.914;
other:0.901;
other:0.680;dioktilftalat:0.337
other:0.829;dioktilftalat:0.215
dioktilftalat:0.840;
other:0.944;
other:0.885;
dioktilftalat:0.556;other:0.383
dioktilftalat:0.538;other:0.405
dioktilftalat:0.500;other:0.460
other:0.883;
other:0.721;dioktilftalat:0.303
other:0.824;dioktilftalat:0.219
other:0.675;dioktilftalat:0.341
other:0.514;dioktilftalat:0.457
other:0.987;
other:0.846;
other:0.567;dioktilftalat:0.418
other:0.792;dioktilftalat:0.246
other:0.991;
dioktilftalat:0.487;other:0.473
other:0.874;
other:0.963;
other:0.644;dioktilftalat:0.366
other:0.959;
dioktilftalat:0.649;other:0.267
other:0.840;dioktilftalat:0.205
other:0.632;dioktilftalat:0.374
dioktilftalat:0.617;other:0.307
other:0.839;dioktilftalat:0.206
other:0.885;
other:0.857;
other:0.599;dioktilftalat:0.396
dioktilftalat:0.577;other:0.358
other:0.903;
other:0.792;dioktilftalat:0.246
other:0.968;
other:0.939;
other:0.963;
